term,coef,std_error,t_value,n_obs,r2
alpha_A1,100.85844201126608,0.6583145359831429,153.2070712378265,7372,0.8455905851981955
alpha_A10,143.6658675877249,0.6635967892075658,216.49572439806937,7372,0.8455905851981955
alpha_A2,93.14136904723973,0.7379944118924645,126.2087727851409,7372,0.8455905851981955
alpha_A3,113.55968517248576,0.6767595412598066,167.79916388188818,7372,0.8455905851981955
alpha_A4,78.86254733313852,0.6748949121214843,116.85159558432541,7372,0.8455905851981955
alpha_A5,123.62515849478923,0.6558251261809576,188.5032359383531,7372,0.8455905851981955
alpha_A6,53.33383457842637,0.7054807494451467,75.59927697583935,7372,0.8455905851981955
alpha_A7,103.80178679589706,0.6600448803145943,157.26474046192504,7372,0.8455905851981955
alpha_A8,136.21954066183096,0.7390830399633246,184.30884392718653,7372,0.8455905851981955
alpha_A9,98.60196981492626,0.695279267221819,141.81635274257172,7372,0.8455905851981955
beta_t_A1,-0.26886728732844434,0.006678755141584464,-40.257096064860136,7372,0.8455905851981955
beta_t_A10,-0.39611758268066816,0.006999024692349335,-56.5961116144748,7372,0.8455905851981955
beta_t_A2,-0.28810946966448503,0.006738614462803007,-42.755001232796815,7372,0.8455905851981955
beta_t_A3,-0.2999911507200293,0.006748636854542677,-44.45211043147147,7372,0.8455905851981955
beta_t_A4,-0.22342505647955105,0.0072627306908987785,-30.76323024885585,7372,0.8455905851981955
beta_t_A5,-0.3404142464132717,0.006820027947090483,-49.91390783940953,7372,0.8455905851981955
beta_t_A6,-0.17185186088941015,0.006498928474501801,-26.443106977352,7372,0.8455905851981955
beta_t_A7,-0.3019973992752277,0.006947362320568832,-43.469360793392575,7372,0.8455905851981955
beta_t_A8,-0.3567912366707997,0.007183607006345935,-49.66742144379745,7372,0.8455905851981955
beta_t_A9,-0.2888864946172311,0.006911476839197691,-41.79808474201095,7372,0.8455905851981955
season_sin,9.096791790991736,0.1680059061999538,54.14566664201141,7372,0.8455905851981955
season_cos,-9.472950491979617,0.15159211199693567,-62.489732263715055,7372,0.8455905851981955
recent_mid_maintenance,1.2134134854911194,0.35976987498057966,3.3727489983885373,7372,0.8455905851981955
recent_big_maintenance,-1.6593677679084005,0.7796992573836803,-2.1282151447424633,7372,0.8455905851981955
cum_mid_maintenance,15.39962001378226,0.38538706928283195,39.95883941420106,7372,0.8455905851981955
cum_big_maintenance,15.919584626636865,0.45772080707159507,34.78012006595711,7372,0.8455905851981955
