mid_half_life_days,big_half_life_days,lambda_mid,lambda_big,rss,r2
180,180,0.003850817669777474,0.003850817669777474,524334.4607469863,0.8461232475917995
120,180,0.0057762265046662105,0.003850817669777474,534865.8069214324,0.8430326070386273
90,180,0.007701635339554948,0.003850817669777474,546943.3670050579,0.8394881981511482
180,120,0.003850817669777474,0.0057762265046662105,547036.8806617042,0.8394607546415798
120,120,0.0057762265046662105,0.0057762265046662105,561385.2619209057,0.8352499264855681
180,90,0.003850817669777474,0.007701635339554948,564409.9370052813,0.8343622732529145
60,180,0.011552453009332421,0.003850817669777474,571977.7196662113,0.8321413514826078
90,120,0.007701635339554948,0.0057762265046662105,575036.3662340946,0.8312437286180723
120,90,0.0057762265046662105,0.007701635339554948,580685.9753227977,0.8295857344101254
180,60,0.003850817669777474,0.011552453009332421,587286.0275588913,0.8276488130749003
90,90,0.007701635339554948,0.007701635339554948,595127.4944128392,0.8253475730383728
45,180,0.015403270679109895,0.003850817669777474,598959.278805535,0.8242230569471808
60,120,0.011552453009332421,0.0057762265046662105,599839.331009762,0.8239647874927123
180,45,0.003850817669777474,0.015403270679109895,600383.7427528988,0.8238050186480566
120,60,0.0057762265046662105,0.011552453009332421,605256.1835760134,0.8223751004826667
180,30,0.003850817669777474,0.023104906018664842,612829.0468565109,0.8201526876998522
180,21,0.003850817669777474,0.033007008598092635,618499.5269414472,0.8184885684679742
120,45,0.0057762265046662105,0.015403270679109895,619229.5204567014,0.8182743368280276
60,90,0.011552453009332421,0.007701635339554948,619308.8219535515,0.8182510641696198
90,60,0.007701635339554948,0.011552453009332421,620430.4808235564,0.8179218902603171
180,14,0.003850817669777474,0.049510512897138946,621110.2531505479,0.8177223970629687
180,7,0.003850817669777474,0.09902102579427789,622717.7003499775,0.8172506585578101
45,120,0.015403270679109895,0.0057762265046662105,625242.4772332024,0.816509710753631
120,30,0.0057762265046662105,0.023104906018664842,632872.4077080436,0.814270550426659
90,45,0.007701635339554948,0.015403270679109895,634864.1817551346,0.8136860232882734
120,21,0.0057762265046662105,0.033007008598092635,639524.3262471183,0.8123184078560209
120,14,0.0057762265046662105,0.049510512897138946,643071.7865252423,0.8112773325352854
45,90,0.015403270679109895,0.007701635339554948,643140.5280875375,0.8112571589072802
60,60,0.011552453009332421,0.011552453009332421,643349.2288636884,0.811195911363845
120,7,0.0057762265046662105,0.09902102579427789,646022.4321474573,0.8104114047738198
90,30,0.007701635339554948,0.023104906018664842,649273.29235008,0.8094573728572451
30,180,0.023104906018664842,0.003850817669777474,651905.4838701203,0.8086849020144109
90,21,0.007701635339554948,0.033007008598092635,656651.150413943,0.8072921883737028
60,45,0.011552453009332421,0.015403270679109895,657009.3466484506,0.8071870683073765
90,14,0.007701635339554948,0.049510512897138946,660983.8955288844,0.8060206550353258
