filter_no,date,permeability_raw,maintenance_type,is_mid_maintenance,is_big_maintenance,missing_before_interpolation,permeability_interp,is_outlier_corrected,permeability_clean,permeability_ma7,local_decline_7d,permeability_ma15,local_decline_15d,permeability_ma30,local_decline_30d,cum_mid_maintenance,cum_big_maintenance,day_index,recent_mid_maintenance,recent_big_maintenance,season_sin,season_cos,decay_mid_maintenance,decay_big_maintenance,fitted_permeability
A1,2024-04-03,91.71726013616416,,0,0,0,91.71726013616416,0,91.71726013616416,91.71726013616416,,91.71726013616416,,91.71726013616416,,0,0,0.0,0,0,0.0,1.0,0.0,0.0,78.12012259418596
A1,2024-04-04,92.14862557996976,,0,0,0,92.14862557996976,0,92.14862557996976,91.93294285806697,,91.93294285806697,,91.93294285806697,,0,0,1.0,0,0,0.0172133561558346,0.9998518392091162,0.0,0.0,78.23599940740827
A1,2024-04-05,91.1598412211144,,0,0,0,91.1598412211144,0,91.1598412211144,91.67524231241612,,91.67524231241612,,91.67524231241612,,0,0,2.0,0,0,0.0344216116227457,0.9994074007397048,0.0,0.0,78.35392887935049
A1,2024-04-06,91.06957004095646,,0,0,0,91.06957004095646,0,91.06957004095646,91.5238242445512,,91.5238242445512,,91.5238242445512,,0,0,3.0,0,0,0.0516196672232537,0.998666816288476,0.0,0.0,78.47385513495593
A1,2024-04-07,,,0,0,1,90.91699370934722,0,90.91699370934722,91.4024581375104,,91.4024581375104,,91.4024581375104,,0,0,4.0,0,0,0.0688024268023198,0.9976303053065856,0.0,0.0,78.5957217074778
A1,2024-04-08,,,0,0,1,90.76441737773796,0,90.76441737773796,91.29611801088168,,91.29611801088168,,91.29611801088168,,0,0,5.0,0,0,0.0859647987374464,0.9962981749346078,0.0,0.0,78.71947155521148
A1,2024-04-09,90.61184104612872,,0,0,0,90.61184104612872,0,90.61184104612872,91.1983641587741,,91.1983641587741,,91.1983641587741,,0,0,6.0,0,0,0.1031016974474348,0.9946708199115212,0.0,0.0,78.84504707839739
A1,2024-04-10,90.07620025980086,,0,0,0,90.07620025980086,0,90.07620025980086,90.96392703357937,-0.2344371251947572,91.05809367140245,,91.05809367140245,,0,0,7.0,0,0,0.1202080448993527,0.9927487224577402,0.0,0.0,78.97239013628874
A1,2024-04-11,90.20571427924492,,0,0,0,90.20571427924492,0,90.20571427924492,90.68636827633294,-0.2775587572464064,90.9633848500516,,90.9633848500516,,0,0,8.0,0,0,0.1372787721132647,0.9905324521322229,0.0,0.0,79.10144206438018
A1,2024-04-12,89.22336993612588,,0,0,0,89.22336993612588,0,89.22336993612588,90.40972952133458,-0.2766387549983591,90.78938335865904,,90.78938335865904,,0,0,9.0,0,0,0.1543088206642811,0.9880226656636976,0.0,0.0,79.23214369179121
A1,2024-04-13,89.71804899240941,,0,0,0,89.71804899240941,0,89.71804899240941,90.21665508582784,-0.1930744355067223,90.69198932536362,,90.69198932536362,,0,0,10.0,0,0,0.1712931441814776,0.9852201067560606,0.0,0.0,79.36443535879981
A1,2024-04-14,89.37926316990728,,0,0,0,89.37926316990728,0,89.37926316990728,89.99697929447929,-0.219675791348564,90.58259547907558,,90.58259547907558,,0,0,11.0,0,0,0.1882267098432442,0.9821256058680006,0.0,0.0,79.49825693452094
A1,2024-04-15,89.55602551196398,,0,0,0,89.55602551196398,0,89.55602551196398,89.824351885083,-0.1726274093962843,90.50362855852852,,90.50362855852852,,0,0,12.0,0,0,0.2051044998686192,0.9787400799669153,0.0,0.0,79.63354783472454
A1,2024-04-16,89.32483152739191,,0,0,0,89.32483152739191,0,89.32483152739191,89.64049338240633,-0.183858502676689,90.41942877059022,,90.41942877059022,,0,0,13.0,0,0,0.2219215130041655,0.9750645322571948,0.0,0.0,79.770247039788
A1,2024-04-17,91.51165911217194,,0,0,0,91.51165911217194,1,89.30151127982252,89.52982352812371,-0.1106698542826194,90.34490093787235,,90.34490093787235,,0,0,14.0,0,0,0.2386727660059501,0.9711000518829505,0.0,0.0,79.90829311277766
A1,2024-04-18,88.27735044787501,,0,0,0,88.27735044787501,0,88.27735044787501,89.25434298078514,-0.2754805473385602,90.11557362531975,-0.2293273125526099,90.21567903224754,,0,0,15.0,0,0,0.255353295116187,0.9668478136052776,0.0,0.0,80.04762421765373
A1,2024-04-19,88.5940253057115,,0,0,0,88.5940253057115,0,88.5940253057115,89.16443660501166,-0.0899063757734828,89.87860027370252,-0.2369733516172184,90.12028763656892,,0,0,16.0,0,0,0.2719581575341055,0.9623090774541486,0.0,0.0,80.18817813759381
A1,2024-04-20,88.4674238837361,,0,0,0,88.4674238837361,0,88.4674238837361,88.98577587520117,-0.178660729810472,89.69910578454399,-0.1794944891585525,90.02846187252267,,0,0,17.0,0,0,0.288482432880609,0.9574851883550392,0.0,0.0,80.32989229342897
A1,2024-04-21,87.17279800239747,,0,0,0,87.17279800239747,0,87.17279800239747,88.67056656555691,-0.3152093096442578,89.4393209819734,-0.2597848025705995,89.87816377409503,,0,0,18.0,0,0,0.304921224656289,0.9523775757303974,0.0,0.0,80.47270376218734
A1,2024-04-22,86.65541310445715,,0,0,0,86.65541310445715,0,86.65541310445715,88.25619336448452,-0.4143732010724039,89.15521560831404,-0.2841053736593381,89.71702624061314,,0,0,19.0,0,0,0.3212696616923644,0.9469877530760752,0.0,0.0,80.61654929573957
A1,2024-04-23,85.81840252187779,,0,0,0,85.81840252187779,0,85.81840252187779,87.75527493512536,-0.5009184293591602,88.82548128459004,-0.3297343237240123,89.53137749210194,,0,0,20.0,0,0,0.3375228995941133,0.9413173175128472,0.0,0.0,80.76136533954059
A1,2024-04-24,85.70421508356353,,0,0,0,85.70421508356353,0,85.70421508356353,87.24137547851694,-0.5138994566084278,88.49830622041901,-0.3271750641710137,89.3574155644411,,0,0,21.0,0,0,0.3536761221763716,0.9353679493131484,0.0,0.0,80.9070880514622
A1,2024-04-25,85.74216587688028,,0,0,0,85.74216587688028,0,85.74216587688028,86.87920625408911,-0.3621692244278185,88.20937059489098,-0.2889356255280385,89.2002307954167,,0,0,22.0,0,0,0.3697245428906731,0.9291414114031744,0.0,0.0,81.05365332071082
A1,2024-04-26,85.21570877032602,,0,0,0,85.21570877032602,0,85.21570877032602,86.3965896061769,-0.4826166479122114,87.87670356096307,-0.3326670339279275,89.03420904437127,,0,0,23.0,0,0,0.385663406243607,0.9226395488404876,0.0,0.0,81.20099678682504
A1,2024-04-27,84.98306294676304,,0,0,0,84.98306294676304,0,84.98306294676304,85.8988237580379,-0.4977658481390087,87.59401642833886,-0.282687132624189,88.87216320046693,,0,0,24.0,0,0,0.401487989205973,0.9158642882672872,0.0,0.0,81.34905385874687
A1,2024-04-28,84.86131308141837,,0,0,0,84.86131308141837,0,84.86131308141837,85.56861162646945,-0.3302121315684425,87.2702340342728,-0.3237823940660689,88.71789973434967,,0,0,25.0,0,0,0.4171936026123168,0.9088176373395028,0.0,0.0,81.4977597339615
A1,2024-04-29,83.99261541546556,,0,0,0,83.99261541546556,0,83.99261541546556,85.1882119566135,-0.3803996698559412,86.91112418397668,-0.359109850296114,88.54288920402065,,0,0,26.0,0,0,0.4327755925504312,0.901501684131884,0.0,0.0,81.64704941769976
A1,2024-04-30,,,0,0,1,83.97497544747411,0,83.97497544747411,84.9248652316987,-0.2633467249148111,86.53905417967736,-0.3720700042993248,88.37974942700112,,0,0,27.0,0,0,0.4482293417404106,0.893918596519257,0.0,0.0,81.79685774219736
A1,2024-05-01,,,0,0,1,83.95733547948264,0,83.95733547948264,84.67531100254429,-0.2495542291544126,86.18122110981673,-0.357833069860618,88.22725239432808,,0,0,28.0,0,0,0.4635502709028509,0.886070621534138,0.0,0.0,81.9471193860056
A1,2024-05-02,,,0,0,1,83.93969551149118,0,83.93969551149118,84.41781523606014,-0.2574957664841569,85.82376672526131,-0.3574543845554226,88.08433383156685,,0,0,29.0,0,0,0.4787338401157884,0.8779600847008882,0.0,0.0,82.09776889334742
