term,coef,std_error,t_value,n_obs,r2,rss,lower_bound,upper_bound,at_lower_bound,at_upper_bound
alpha_A1,85.23376418915359,0.6897163328824428,123.57799884620258,7372,0.8461232475917995,524334.4607469864,-inf,inf,False,False
alpha_A10,126.42086175337911,0.7072430907995754,178.7516391435563,7372,0.8461232475917995,524334.4607469864,-inf,inf,False,False
alpha_A2,75.59719761601744,0.7478382060647576,101.08763767743534,7372,0.8461232475917995,524334.4607469864,-inf,inf,False,False
alpha_A3,97.98178646423601,0.7009491988294677,139.7844332055136,7372,0.8461232475917995,524334.4607469864,-inf,inf,False,False
alpha_A4,61.37409903155675,0.7359543349272224,83.39389567917412,7372,0.8461232475917995,524334.4607469864,-inf,inf,False,False
alpha_A5,107.40296875802403,0.7005848979454735,153.30471592092925,7372,0.8461232475917995,524334.4607469864,-inf,inf,False,False
alpha_A6,41.463017271184285,0.7488923334384485,55.3657921437276,7372,0.8461232475917995,524334.4607469864,-inf,inf,False,False
alpha_A7,88.30541987085466,0.6911160537462164,127.7722017773894,7372,0.8461232475917995,524334.4607469864,-inf,inf,False,False
alpha_A8,116.82392452696655,0.7742479669359972,150.88696324161447,7372,0.8461232475917995,524334.4607469864,-inf,inf,False,False
alpha_A9,81.15528529186979,0.714599161114918,113.56756305905995,7372,0.8461232475917995,524334.4607469864,-inf,inf,False,False
beta_t_A1,-0.07063275282475084,0.005928427484190293,-11.914247583041474,7372,0.8461232475917995,524334.4607469864,-inf,0.0,False,False
beta_t_A10,-0.18725560501836616,0.006277488618104267,-29.82970044395163,7372,0.8461232475917995,524334.4607469864,-inf,0.0,False,False
beta_t_A2,-0.09680512682694889,0.006033393538392473,-16.044888537594296,7372,0.8461232475917995,524334.4607469864,-inf,0.0,False,False
beta_t_A3,-0.10095760213574734,0.00603048982955891,-16.741194329007218,7372,0.8461232475917995,524334.4607469864,-inf,0.0,False,False
beta_t_A4,-0.009372208220071497,0.0066585802980377905,-1.4075385143036245,7372,0.8461232475917995,524334.4607469864,-inf,0.0,False,False
beta_t_A5,-0.13453973582447493,0.006094167980698085,-22.07680133704871,7372,0.8461232475917995,524334.4607469864,-inf,0.0,False,False
beta_t_A6,-2.193822177419634e-27,0.005870094219871421,-3.737286140984101e-25,7372,0.8461232475917995,524334.4607469864,-inf,0.0,False,True
beta_t_A7,-0.09568722656866978,0.006201888923923536,-15.428723045903027,7372,0.8461232475917995,524334.4607469864,-inf,0.0,False,False
beta_t_A8,-0.1516738549113322,0.006537145899530868,-23.201846377976196,7372,0.8461232475917995,524334.4607469864,-inf,0.0,False,False
beta_t_A9,-0.08783783323608348,0.006160413639484029,-14.258431069157949,7372,0.8461232475917995,524334.4607469864,-inf,0.0,False,False
season_sin,10.773936331957762,0.16313120163756933,66.04460841215621,7372,0.8461232475917995,524334.4607469864,-inf,inf,False,False
season_cos,-7.113641594967626,0.15068779122384507,-47.20781648727194,7372,0.8461232475917995,524334.4607469864,-inf,inf,False,False
decay_mid_maintenance,11.582596815912936,0.27503892566157656,42.11257293145778,7372,0.8461232475917995,524334.4607469864,0.0,inf,False,False
decay_big_maintenance,13.196265828964327,0.9806475320369739,13.456685911964117,7372,0.8461232475917995,524334.4607469864,0.0,inf,False,False
cum_mid_maintenance,-1.962938367679548e-25,0.3967017510732716,-4.948146466126865e-25,7372,0.8461232475917995,524334.4607469864,-inf,0.0,False,True
cum_big_maintenance,-5.917087877881765e-26,0.9072442847069128,-6.522044809346243e-26,7372,0.8461232475917995,524334.4607469864,-inf,0.0,False,True
