filter_no,mid_interval_days,big_interval_days,failure_date,life_days,life_years,future_mid_count,future_big_count,purchase_cost,maintenance_cost,total_cycle_cost,annual_cost,status
A1,30,90,2032-01-05,2096,5.742465753424658,70,23,300.0,486.0,786.0,136.875,failed_within_horizon
A1,30,120,2031-09-07,1976,5.413698630136986,66,16,300.0,390.0,690.0,127.45445344129554,failed_within_horizon
A1,30,150,2031-06-09,1886,5.167123287671233,63,13,300.0,345.0,645.0,124.82767762460233,failed_within_horizon
A1,30,180,2031-04-10,1826,5.002739726027397,61,10,300.0,303.0,603.0,120.53395399780942,failed_within_horizon
A1,30,240,2031-02-09,1766,4.838356164383562,59,7,300.0,261.0,561.0,115.94847112117779,failed_within_horizon
A1,30,300,2031-01-10,1736,4.756164383561644,58,6,300.0,246.0,546.0,114.79838709677419,failed_within_horizon
A1,30,365,2030-12-11,1706,4.673972602739726,57,5,300.0,231.0,531.0,113.60785463071512,failed_within_horizon
A1,45,90,2030-09-27,1631,4.468493150684932,37,18,300.0,327.0,627.0,140.31575720416922,failed_within_horizon
A1,45,120,2030-06-29,1541,4.221917808219178,35,13,300.0,261.0,561.0,132.87800129785853,failed_within_horizon
A1,45,150,2030-02-14,1406,3.852054794520548,32,10,300.0,216.0,516.0,133.95448079658607,failed_within_horizon
A1,45,180,2029-12-31,1361,3.728767123287671,31,8,300.0,189.0,489.0,131.1425422483468,failed_within_horizon
A1,45,240,2029-10-02,1271,3.4821917808219176,29,5,300.0,147.0,447.0,128.36742722265933,failed_within_horizon
A1,45,300,2029-08-18,1226,3.3589041095890413,28,4,300.0,132.0,432.0,128.61337683523652,failed_within_horizon
A1,45,365,2029-08-18,1226,3.3589041095890413,28,3,300.0,120.0,420.0,125.04078303425774,failed_within_horizon
A1,60,90,2030-02-14,1406,3.852054794520548,24,16,300.0,264.0,564.0,146.41536273115221,failed_within_horizon
A1,60,120,2029-10-17,1286,3.5232876712328767,22,10,300.0,186.0,486.0,137.9393468118196,failed_within_horizon
A1,60,150,2029-08-18,1226,3.3589041095890413,21,9,300.0,171.0,471.0,140.2243066884176,failed_within_horizon
A1,60,180,2029-08-18,1226,3.3589041095890413,21,7,300.0,147.0,447.0,133.07911908646003,failed_within_horizon
A1,60,240,2029-08-18,1226,3.3589041095890413,21,5,300.0,123.0,423.0,125.93393148450244,failed_within_horizon
A1,60,300,2028-12-21,986,2.7013698630136984,17,3,300.0,87.0,387.0,143.2606490872211,failed_within_horizon
A1,60,365,2028-12-21,986,2.7013698630136984,17,3,300.0,87.0,387.0,143.2606490872211,failed_within_horizon
