scenario,purchase_cost,mid_cost,big_cost,same_filter_count,all_filters_same,base_plan_total_annual_cost,reoptimized_total_annual_cost,annual_cost_penalty,annual_cost_penalty_pct,purchase_factor,mid_factor,big_factor
purchase_0.7_mid_0.7_big_0.7,210.0,2.0999999999999996,8.399999999999999,10,True,983.3098783132685,983.3098783132685,0.0,0.0,0.7,0.7,0.7
purchase_0.7_mid_0.7_big_0.8,210.0,2.0999999999999996,9.600000000000001,9,False,998.4462729027396,998.1570117437304,0.2892611590091292,0.028979524824837365,0.7,0.7,0.8
purchase_0.7_mid_0.7_big_0.9,210.0,2.0999999999999996,10.8,9,False,1013.5826674922102,1012.8265286730461,0.7561388191641072,0.07465630073441716,0.7,0.7,0.9
purchase_0.7_mid_0.7_big_1.0,210.0,2.0999999999999996,12.0,9,False,1028.7190620816812,1027.4960456023623,1.2230164793188578,0.11902882590675792,0.7,0.7,1.0
purchase_0.7_mid_0.7_big_1.1,210.0,2.0999999999999996,13.200000000000001,9,False,1043.855456671152,1042.165562531678,1.6898941394740632,0.16215217622129943,0.7,0.7,1.1
purchase_0.7_mid_0.7_big_1.2,210.0,2.0999999999999996,14.399999999999999,9,False,1058.9918512606228,1056.8350794609937,2.156771799629041,0.2040783696098578,0.7,0.7,1.2
purchase_0.7_mid_0.7_big_1.3,210.0,2.0999999999999996,15.600000000000001,9,False,1074.1282458500937,1071.5045963903099,2.623649459783792,0.24485657538216407,0.7,0.7,1.3
purchase_0.7_mid_0.8_big_0.7,210.0,2.4000000000000004,8.399999999999999,10,True,1008.702615218881,1008.702615218881,0.0,0.0,0.7,0.8,0.7
purchase_0.7_mid_0.8_big_0.8,210.0,2.4000000000000004,9.600000000000001,9,False,1023.8390098083518,1023.5508945622532,0.2881152460985277,0.028148599901497543,0.7,0.8,0.8
purchase_0.7_mid_0.8_big_0.9,210.0,2.4000000000000004,10.8,9,False,1038.9754043978226,1038.220411491569,0.7549929062536194,0.07271990589830071,0.7,0.8,0.9
purchase_0.7_mid_0.8_big_1.0,210.0,2.4000000000000004,12.0,9,False,1054.1117989872932,1052.889928420885,1.2218705664081426,0.1160492216162323,0.7,0.8,1.0
purchase_0.7_mid_0.8_big_1.1,210.0,2.4000000000000004,13.200000000000001,9,False,1069.2481935767642,1067.5594453502008,1.688748226563348,0.15818774625794946,0.7,0.8,1.1
purchase_0.7_mid_0.8_big_1.2,210.0,2.4000000000000004,14.399999999999999,9,False,1084.3845881662348,1082.2289622795167,2.1556258867180986,0.1991839030234109,0.7,0.8,1.2
