filter_no,mid_interval_days,big_interval_days,scenario_annual_cost,base_mid_interval_days,base_big_interval_days,scenario,changed
A1,150,365,65.72710396039605,150,365,purchase_low,False
A10,30,90,213.75,30,90,purchase_low,False
A2,30,365,126.47762747138398,30,365,purchase_low,False
A3,30,365,115.77092511013215,30,365,purchase_low,False
A4,150,365,32.43872332921883,150,365,purchase_low,False
A5,30,240,148.63636363636363,30,180,purchase_low,True
A6,150,365,24.525,150,365,purchase_low,False
A7,30,300,116.90391459074733,30,300,purchase_low,False
A8,120,300,146.6186440677966,120,300,purchase_low,False
A9,30,365,112.82939189189189,30,365,purchase_low,False
A1,150,365,106.38304455445545,150,365,purchase_high,False
A10,30,90,326.25,30,90,purchase_high,False
A2,30,150,193.1773177317732,30,365,purchase_high,True
A3,30,365,173.65638766519822,30,365,purchase_high,False
A4,150,365,44.02398166108269,150,365,purchase_high,False
A5,30,180,228.72749099639856,30,180,purchase_high,False
A6,150,365,29.025,150,365,purchase_high,False
A7,30,300,175.355871886121,30,300,purchase_high,False
A8,30,90,248.28488372093022,120,300,purchase_high,True
A9,30,365,168.31925675675674,30,365,purchase_high,False
A1,150,365,83.81899752475249,150,365,mid_low,False
A10,30,90,258.75,30,90,mid_low,False
A2,30,365,149.3803329864724,30,365,mid_low,False
A3,30,365,133.71541850220262,30,365,mid_low,False
A4,150,365,36.030153412096624,150,365,mid_low,False
A5,30,180,178.24969987995198,30,180,mid_low,False
A6,150,365,24.592499999999998,150,365,mid_low,False
A7,30,300,135.02402135231316,30,300,mid_low,False
A8,30,150,197.5439189189189,120,300,mid_low,True
A9,30,365,129.47635135135135,30,365,mid_low,False
A1,150,365,88.29115099009901,150,365,mid_high,False
A10,30,90,281.25,30,90,mid_high,False
A2,30,365,171.94120707596255,30,365,mid_high,False
A3,30,365,155.71189427312777,30,365,mid_high,False
A4,150,365,40.4325515782049,150,365,mid_high,False
A5,30,180,200.33373349339738,30,180,mid_high,False
A6,150,365,28.9575,150,365,mid_high,False
A7,30,300,157.23576512455517,30,300,mid_high,False
A8,120,300,205.08050847457628,120,300,mid_high,False
A9,30,365,151.6722972972973,30,365,mid_high,False
A1,150,365,82.802599009901,150,365,big_low,False
A10,30,90,256.49999999999994,30,90,big_low,False
A2,30,150,155.33033303330333,30,365,big_low,True
A3,30,240,141.11297071129707,30,365,big_low,True
A4,150,365,34.7557749955916,150,365,big_low,False
A5,30,120,181.98591549295773,30,180,big_low,True
A6,150,365,23.175,150,365,big_low,False
A7,30,150,142.16091051805336,30,300,big_low,True
A8,30,90,196.3360465116279,120,300,big_low,True
A9,30,365,137.24493243243242,30,365,big_low,False
A1,150,365,89.3075495049505,150,365,big_high,False
A10,30,90,283.5,30,90,big_high,False
A2,30,365,163.39542143600417,30,365,big_high,False
A3,30,365,148.18678414096917,30,365,big_high,False
A4,150,365,41.706929994709924,150,365,big_high,False
A5,30,240,194.45454545454544,30,180,big_high,True
A6,150,365,30.375,150,365,big_high,False
A7,30,300,149.6370106761566,30,300,big_high,False
A8,120,300,204.52372881355933,120,300,big_high,False
A9,30,365,143.90371621621622,30,365,big_high,False
A1,150,365,60.238551980198025,150,365,all_low,False
A10,30,90,188.99999999999997,30,90,all_low,False
A2,30,365,112.46253902185222,30,365,all_low,False
A3,30,365,101.29955947136563,30,365,all_low,False
A4,150,365,26.76194674660553,150,365,all_low,False
A5,30,180,132.50420168067225,30,180,all_low,False
A6,150,365,18.742499999999996,150,365,all_low,False
A7,30,300,102.2909252669039,30,300,all_low,False
A8,120,300,141.60762711864407,120,300,all_low,False
A9,30,365,98.40202702702702,30,365,all_low,False
A1,150,365,111.87159653465346,150,365,all_high,False
A10,30,90,351.0,30,90,all_high,False
A2,30,365,208.85900104058277,30,365,all_high,False
A3,30,365,188.12775330396477,30,365,all_high,False
A4,150,365,49.700758243695994,150,365,all_high,False
A5,30,180,246.07923169267707,30,180,all_high,False
A6,150,365,34.8075,150,365,all_high,False
A7,30,300,189.96886120996442,30,300,all_high,False
A8,120,300,262.985593220339,120,300,all_high,False
A9,30,365,182.7466216216216,30,365,all_high,False
